# Position Log - Manual Test Lap
# Format: RL_STATE|time|position|lap|split|posX|posY|speed|turnSpeed|angle|rank|coins
#
RL_STATE|104.562|60|4|0|0.364472|0.876697|0.120034|0.206439|3.02425|2|0
RL_STATE|104.579|60|4|0|0.362478|0.876932|0.120915|0.234614|3.02816|2|0
RL_STATE|104.596|60|4|0|0.360468|0.877161|0.121779|0.262789|3.03254|2|0
RL_STATE|104.612|59|4|0|0.358444|0.877382|0.122627|0.290964|3.03738|2|0
RL_STATE|104.629|59|4|0|0.356404|0.877596|0.12346|0.319139|3.0427|2|0
RL_STATE|104.646|59|4|0|0.35435|0.877799|0.124277|0.347314|3.04849|2|0
RL_STATE|104.662|59|4|0|0.352281|0.877993|0.12508|0.375489|3.05475|2|0
RL_STATE|104.679|58|4|0|0.350198|0.878174|0.125868|0.403664|3.06148|2|0
RL_STATE|104.696|58|4|0|0.3481|0.878342|0.126641|0.431839|3.06867|2|0
RL_STATE|104.712|58|4|0|0.345989|0.878496|0.1274|0.460014|3.07634|2|0
RL_STATE|104.729|58|4|0|0.343864|0.878635|0.128146|0.488189|3.08448|2|0
RL_STATE|104.746|57|4|0|0.341726|0.878758|0.128878|0.516364|3.09308|2|0
RL_STATE|104.762|57|4|0|0.339575|0.878862|0.129596|0.544539|3.10216|2|0
RL_STATE|104.779|57|4|0|0.33741|0.878947|0.130301|0.572714|3.1117|2|0
RL_STATE|104.796|56|4|0|0.335234|0.879012|0.130994|0.600889|3.12172|2|0
RL_STATE|104.812|56|4|0|0.333046|0.879056|0.131674|0.629064|3.1322|2|0
RL_STATE|104.829|56|4|0|0.330846|0.879077|0.132341|0.657239|3.14316|2|0
RL_STATE|104.846|56|4|0|0.328635|0.879073|0.132996|0.685414|3.15458|2|0
RL_STATE|104.862|55|4|0|0.326413|0.879044|0.133639|0.713589|3.16647|2|0
RL_STATE|104.879|55|4|0|0.324181|0.878989|0.134271|0.741764|3.17883|2|0
RL_STATE|104.896|55|4|0|0.32194|0.878905|0.134891|0.769939|3.19167|2|0
RL_STATE|104.912|54|4|0|0.319689|0.878793|0.135499|0.957772|3.20763|2|0
RL_STATE|104.929|54|4|0|0.317431|0.878643|0.136097|1.14561|3.22672|2|0
RL_STATE|104.946|54|4|0|0.315166|0.87845|0.136683|1.33344|3.24894|2|0
RL_STATE|104.962|54|4|0|0.312897|0.878205|0.137259|1.52127|3.2743|2|0
RL_STATE|104.979|53|4|0|0.310625|0.877902|0.137824|1.70911|3.30278|2|0
RL_STATE|104.996|53|4|0|0.308353|0.877533|0.138379|1.87833|3.33408|2|0
RL_STATE|105.012|53|4|0|0.306085|0.877091|0.138924|1.87833|3.36539|2|0
RL_STATE|105.029|52|4|0|0.303823|0.876576|0.139459|1.87833|3.39669|2|0
RL_STATE|105.046|52|4|0|0.30157|0.875988|0.139984|1.87833|3.428|2|0
RL_STATE|105.062|52|4|0|0.299328|0.875328|0.140499|1.87833|3.4593|2|0
RL_STATE|105.079|52|4|0|0.297099|0.874595|0.141005|1.87833|3.49061|2|0
RL_STATE|105.096|51|4|0|0.294887|0.87379|0.141502|1.87833|3.52191|2|0
RL_STATE|105.112|51|4|0|0.292693|0.872913|0.14199|1.87833|3.55322|2|0
RL_STATE|105.129|51|4|0|0.290521|0.871965|0.142469|1.87833|3.58452|2|0
RL_STATE|105.146|50|4|0|0.288372|0.870945|0.142939|1.87833|3.61582|2|0
RL_STATE|105.162|50|4|0|0.286249|0.869856|0.1434|1.87833|3.64713|2|0
RL_STATE|105.179|50|4|0|0.284155|0.868697|0.143853|1.87833|3.67843|2|0
RL_STATE|105.196|50|4|0|0.282092|0.867469|0.144298|1.87833|3.70974|2|0
RL_STATE|105.212|49|4|0|0.280062|0.866173|0.144735|1.87833|3.74104|2|0
RL_STATE|105.229|49|4|0|0.278067|0.86481|0.145163|1.87833|3.77235|2|0
RL_STATE|105.246|49|4|0|0.276111|0.863381|0.145584|1.87833|3.80365|2|0
RL_STATE|105.262|49|4|0|0.274194|0.861887|0.145997|1.87833|3.83495|2|0
